in:fs_0,in:np_0,in:fA_0,in:fB_0,in:fs_1,in:np_1,in:fA_1,in:fB_1,in:fs_2,in:np_2,in:fA_2,in:fB_2,in:fs_3,in:np_3,in:fA_3,in:fB_3,in:fs_4,in:np_4,in:fA_4,in:fB_4,in:fs_5,in:np_5,in:fA_5,in:fB_5,in:fs_6,in:np_6,in:fA_6,in:fB_6,in:fs_7,in:np_7,in:fA_7,in:fB_7,in:fs_8,in:np_8,in:fA_8,in:fB_8,in:fs_9,in:np_9,in:fA_9,in:fB_9,in:fs_10,in:np_10,in:fA_10,in:fB_10,in:fs_11,in:np_11,in:fA_11,in:fB_11,in:fs_12,in:np_12,in:fA_12,in:fB_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.44,0.8,-0.04,0,0.33,0,0,0,0.02,0.89,0.12,0,0.99,0,0,0,0.11,0,0,0,0.46,0.36,-0.77,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643.2,0,0,2.93,11.51,0.2,13.29,52,Frame_00052.png
0.98,0,0,0,0.76,0.64,-0.29,0,0.44,0,0,0,0.95,0,0,0,0.04,0.63,-0.74,0,0.1,0.42,0.78,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.2,0,0,2.17,11.16,1.45,12.23,53,Frame_00053.png
0.19,0.95,-0.61,0,0.94,0,0,0,0.26,0.29,-0.45,0,0.81,0,0,0,0.73,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.4,0,0,3,11.92,2.25,12.96,54,Frame_00054.png
0.2,0.39,-0.18,0,0.1,0.24,0.01,0,0.74,0,0,0,0.02,0.55,0.15,0,0.28,0,0,0,0.02,0,0,0,0.81,0.6,-0.97,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646.4,0,0,2.19,11.39,0.05,17.73,55,Frame_00055.png
0.98,0,0,0,0.46,0.35,-0.12,0,0.12,0,0,0,0.23,0.79,-0.31,0,0.12,0.35,-0.58,0,0.92,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.6,0,0,3,10.72,0.6,13.48,56,Frame_00056.png
0.2,0.38,-0.78,0,0.62,0,0,0,0.62,0,0,0,0.6,0,0,0,0,0.11,0.17,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.5,0,0,3,11.69,0.85,12.38,57,Frame_00057.png
0.13,0.43,-0.75,0,0.98,0,0,0,0.17,0.11,-0.17,0,0.9,0,0,0,0.45,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653.6,0,0,3,11.69,0.85,12.96,58,Frame_00058.png
0.16,0.38,-0.83,0,0.97,0,0,0,0.9,0,0,0,0.8,0,0,0,0.44,0.42,0.02,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.2,0,0,3,11.69,0.1,12.86,59,Frame_00059.png
0.29,0.78,-0.17,0,0.21,0,0,0,0.08,0.16,-0.24,0,0.16,0.81,-0.52,0,0.41,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656.2,0,0,3.22,11.65,0.85,13.76,60,Frame_00060.png
0.98,0,0,0,0.37,0.41,-0.88,0,0.54,0,0,0,0.02,0.69,0.15,0,0.25,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.5,0,0,2.24,11.69,0.75,12.96,61,Frame_00061.png
0.15,0,-0.63,0,0.97,0,0,0,0.81,0,0,0,0.01,0.12,-0.54,0,0.01,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663.8,0,0,3,12,2.7,12.96,62,Frame_00062.png
0.22,0.25,-0.73,0,0.69,0,0,0,0.71,0,0,0,0.4,0.72,-0.3,0,0.07,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666.1,0,0,3,11.69,1.5,14.46,63,Frame_00063.png
0.16,0.93,-0.97,0,0.04,0.05,-0.12,0,0.84,0,0,0,0.61,0,0,0,0.75,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,2.45,11.89,0.6,13.61,64,Frame_00064.png
0.1,0.71,-0.99,0,0.68,0,0,0,0.03,0.8,-0.07,0,0.6,0,0,0,0.13,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.6,0,0,3,11.69,0.35,13.73,65,Frame_00065.png
0.96,0,0,0,1,0,0,0,0.62,0.61,-0.43,0,0.13,0.1,0.94,0,0.11,0,0,0,0.12,0.85,-0.68,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675.3,0,0,3,11.96,1.27,15.1,66,Frame_00066.png
