in:fs_0,in:fs_1,in:fs_2,in:fs_3,in:fs_4,in:fs_5,in:fs_6,in:fs_7,in:fs_8,in:fs_9,in:fs_10,in:fs_11,in:fs_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.61,0.67,0.9,0.02,0.42,0.67,0,0,0,0,0,0,0,673.1,2,0,3,11.75,0.65,12.35,141,Frame_00141.png
0.59,0.33,0.48,0.01,0.96,0.73,0.67,0,0,0,0,0,0,676.9,2,0,2.93,11.19,0.1,12.7,142,Frame_00142.png
0.97,0.23,0.35,0.42,0.84,0.13,0.36,0.99,0,0,0,0,0,680.4,2,0,2.08,11.3,1.05,12.92,143,Frame_00143.png
0.14,0.24,0.75,0.5,0.65,0.92,0.95,0,0,0,0,0,0,683.9,2,0,2.1,11.69,2.39,12.96,144,Frame_00144.png
0.2,0.66,0.37,0.58,0.74,0.2,0.82,0.24,0,0,0,0,0,684.3,2,0,2.61,11.84,0.1,9.65,145,Frame_00145.png
0.48,0.25,0.45,0.83,0.51,0.01,0.56,0,0,0,0,0,0,686.4,2,0,3,11.87,0.1,13.06,146,Frame_00146.png
0.23,0.99,0.93,0.72,0.91,0.6,0.17,0.06,0,0,0,0,0,688.3,2,0,2.67,12,0.4,13.76,147,Frame_00147.png
0.19,0.72,0.24,0.15,0.95,0.02,0.65,0.87,0,0,0,0,0,690.9,2,0,2.61,11.69,1.75,12.96,148,Frame_00148.png
0.47,0.23,0.23,0.03,0.05,0.28,0.25,0,0,0,0,0,0,711.8,2,0,3,11.98,1.4,9.97,149,Frame_00149.png
0.42,0.4,0.46,0.79,0.31,0.66,0.29,0,0,0,0,0,0,719.4,2,0,2.13,11.71,1.1,15.29,150,Frame_00150.png
0.57,0.29,0.17,0.03,0.37,0.64,0.15,0.93,0,0,0,0,0,719.8,2,0,2.45,11.88,0.05,13.01,151,Frame_00151.png
0.96,0.56,0.84,0.34,0.49,0.82,0,0,0,0,0,0,0,727.2,2,0,3,11.9,0.8,10.31,152,Frame_00152.png
0.18,0.71,0.81,0.25,0.3,0.15,0.17,0,0,0,0,0,0,727.4,2,0,2.63,11.99,0.4,14.33,153,Frame_00153.png
0.39,0.63,0.29,0.97,0.27,0.44,0,0,0,0,0,0,0,732.1,2,0,3,11.85,0.2,15.57,154,Frame_00154.png
0.97,0.58,0.45,0.99,0.14,0.4,0.03,0.73,0,0,0,0,0,735,2,0,2.05,11.87,1.05,9.65,155,Frame_00155.png
0.38,0.11,0.38,0.93,0.06,0.42,0.84,0,0,0,0,0,0,744.2,2,0,2.06,11.57,1.35,14.17,156,Frame_00156.png
0.44,0.65,0.12,0.29,0.18,0.66,0.32,0,0,0,0,0,0,750.2,2,0,2.97,11.97,1.1,18.06,157,Frame_00157.png
0.09,0.01,0.22,0.81,0.03,0.57,0.01,0.38,0,0,0,0,0,755.8,2,0,2.13,11.97,0.25,12.57,158,Frame_00158.png
0.16,0.94,0.61,0.53,0.17,0.63,0.66,0,0,0,0,0,0,770,2,0,2.38,11.94,2.05,15.06,159,Frame_00159.png
